transaction_id,product_id,product_name,category,quantity,price,customer_city,payment_method,revenue
T0001,B003,Clean Code,Books,2,3200.0,Kolkata,Wallet,6400.0
T0002,E004,Samsung Galaxy S24,Electronics,1,74999.0,Mumbai,Debit Card,74999.0
T0003,E004,Samsung Galaxy S24,Electronics,1,74999.0,Bangalore,UPI,74999.0
T0004,C009,Leather Jacket,Clothing,4,7499.0,Mumbai,Credit Card,29996.0
T0005,E006,Sony WH-1000XM5 Headphones,Electronics,2,29990.0,Bangalore,Cash on Delivery,59980.0
T0006,E008,Logitech MX Master 3S Mouse,Electronics,2,9495.0,Bangalore,Cash on Delivery,18990.0
T0007,E011,Canon EOS 1500D Camera,Electronics,1,41999.0,Chennai,UPI,41999.0
T0008,E009,Keychron K2 Keyboard,Electronics,3,8499.0,Kolkata,Credit Card,25497.0
T0009,E008,Logitech MX Master 3S Mouse,Electronics,5,9495.0,Pune,Cash on Delivery,47475.0
T0010,C002,Slim Fit Denim Jeans,Clothing,1,3499.0,Chennai,Debit Card,3499.0
T0011,E007,LG UltraGear Monitor 27,Electronics,1,38990.0,Bangalore,Cash on Delivery,38990.0
T0012,C004,Formal Blazer,Clothing,4,6999.0,Kolkata,Debit Card,27996.0
T0013,B008,Rich Dad Poor Dad,Books,5,450.0,Jaipur,Debit Card,2250.0
T0014,B002,Fluent Python,Books,2,3999.0,Delhi,Wallet,7998.0
T0015,C006,Running Shorts,Clothing,1,1499.0,Pune,Cash on Delivery,1499.0
T0016,B010,The Pragmatic Programmer,Books,3,3499.0,Jaipur,Debit Card,10497.0
T0017,E005,Apple iPhone 15,Electronics,1,79900.0,Kolkata,Credit Card,79900.0
T0018,B004,Atomic Habits,Books,2,699.0,Jaipur,Net Banking,1398.0
T0019,E003,Apple MacBook Air M2,Electronics,1,114900.0,Hyderabad,Debit Card,114900.0
T0020,B005,The Alchemist,Books,5,399.0,Jaipur,Cash on Delivery,1995.0
T0021,B008,Rich Dad Poor Dad,Books,1,450.0,Mumbai,Debit Card,450.0
T0022,B009,Deep Work,Books,1,799.0,Bangalore,Wallet,799.0
T0023,B002,Fluent Python,Books,5,3999.0,Jaipur,Debit Card,19995.0
T0024,B007,Data Science from Scratch,Books,3,2899.0,Bangalore,Net Banking,8697.0
T0025,B005,The Alchemist,Books,2,399.0,Mumbai,Net Banking,798.0
T0026,E004,Samsung Galaxy S24,Electronics,1,74999.0,Pune,Credit Card,74999.0
T0027,C006,Running Shorts,Clothing,4,1499.0,Kolkata,Net Banking,5996.0
T0028,E006,Sony WH-1000XM5 Headphones,Electronics,1,29990.0,Jaipur,Net Banking,29990.0
T0029,C008,Kurta Set,Clothing,2,2499.0,Kolkata,Cash on Delivery,4998.0
T0030,C008,Kurta Set,Clothing,4,2499.0,Hyderabad,Wallet,9996.0
T0031,B007,Data Science from Scratch,Books,2,2899.0,Delhi,UPI,5798.0
T0032,C002,Slim Fit Denim Jeans,Clothing,2,3499.0,Chennai,Wallet,6998.0
T0033,C005,Winter Hoodie,Clothing,1,2999.0,Jaipur,Cash on Delivery,2999.0
T0034,C002,Slim Fit Denim Jeans,Clothing,3,3499.0,Pune,UPI,10497.0
T0035,E010,Samsung Galaxy Tab S9,Electronics,2,72999.0,Hyderabad,Cash on Delivery,145998.0
T0036,B003,Clean Code,Books,2,3200.0,Bangalore,Net Banking,6400.0
T0037,E011,Canon EOS 1500D Camera,Electronics,2,41999.0,Kolkata,Net Banking,83998.0
T0038,E007,LG UltraGear Monitor 27,Electronics,2,38990.0,Kolkata,UPI,77980.0
T0039,C003,Round Neck T-Shirt,Clothing,1,999.0,Chennai,Net Banking,999.0
T0040,C001,Cotton Casual Shirt,Clothing,1,1799.0,Hyderabad,Cash on Delivery,1799.0
T0041,E004,Samsung Galaxy S24,Electronics,1,74999.0,Bangalore,Cash on Delivery,74999.0
T0042,E010,Samsung Galaxy Tab S9,Electronics,1,72999.0,Hyderabad,Cash on Delivery,72999.0
T0043,E002,HP Pavilion 14 Laptop,Electronics,1,62990.0,Chennai,Cash on Delivery,62990.0
T0044,B007,Data Science from Scratch,Books,2,2899.0,Pune,Debit Card,5798.0
T0045,B006,Sapiens,Books,4,899.0,Mumbai,UPI,3596.0
T0046,B010,The Pragmatic Programmer,Books,4,3499.0,Jaipur,Net Banking,13996.0
T0047,B002,Fluent Python,Books,1,3999.0,Delhi,UPI,3999.0
T0048,B004,Atomic Habits,Books,3,699.0,Jaipur,Wallet,2097.0
T0049,C001,Cotton Casual Shirt,Clothing,5,1799.0,Bangalore,Credit Card,8995.0
T0050,B006,Sapiens,Books,2,899.0,Bangalore,Cash on Delivery,1798.0
T0051,B002,Fluent Python,Books,1,3999.0,Pune,Cash on Delivery,3999.0
T0052,B006,Sapiens,Books,2,899.0,Hyderabad,Credit Card,1798.0
T0053,B004,Atomic Habits,Books,2,699.0,Chennai,Credit Card,1398.0
T0054,E011,Canon EOS 1500D Camera,Electronics,1,41999.0,Chennai,Cash on Delivery,41999.0
T0055,B010,The Pragmatic Programmer,Books,3,3499.0,Bangalore,UPI,10497.0
T0056,C008,Kurta Set,Clothing,4,2499.0,Pune,Credit Card,9996.0
T0057,B005,The Alchemist,Books,4,399.0,Hyderabad,Debit Card,1596.0
T0058,E006,Sony WH-1000XM5 Headphones,Electronics,1,29990.0,Mumbai,Credit Card,29990.0
T0059,B009,Deep Work,Books,2,799.0,Hyderabad,Credit Card,1598.0
T0060,B009,Deep Work,Books,5,799.0,Bangalore,Net Banking,3995.0
